,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
ft06,MAKESPAN,65,70,68,77,68,59,88,83,73,70,65,59,65,70,65,86,70,59,59,58,60,59,55,68,85,78,84
(6*6),Scheduling time,0.01,0.01,0.01,0.05,0.03,0.02,0.02,0.02,0.03,0.13,0.03,0.03,0.45,0.03,0.03,0.04,0.03,0.06,19.59,2.93,972.54,0.03,,0.01,0.01,0.01,0.01
,Standard deviation,0,0,0,0,0,0,0,0,10.38,4.41,1.95,0,0,0.49,0,6.63,0,3.02,1.95,2.39,1.7,0,,4.41,5.54,5.12,6.95
ft10,MAKESPAN,1230,1201,1352,1295,1190,1163,1074,1262,1193,1257,1293,1378,1294,1201,1294,1075,1201,1003,1219,1331,1312,1002,930,1284,1100,1176,1114
(10*10),Scheduling time,0.07,0.08,0.12,0.16,0.21,0.13,0.16,0.13,0.15,0.36,0.16,0.18,1.34,0.15,0.18,0.32,0.15,1.97,22.42,2.89,1267.92,0.16,,0.11,0.1,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,64.32,30.45,18.54,0,0,3.36,0,12.34,0,61.89,64.62,53.13,36.45,20.48,,53.35,50.91,52.33,42.54
ft20,MAKESPAN,1658,1304,1487,1631,1495,1601,1267,1309,1480,1590,1433,1309,1433,1363,1433,1267,1358,1205,1564,1634,1635,1205,1165,1616,1280,1358,1279
(5*20),Scheduling time,0.1,0.1,0.13,0.18,0.2,0.17,0.19,0.18,0.25,0.37,0.24,0.25,1.81,0.26,0.25,0.77,0.26,2.53,22.52,2.91,1262.89,0.26,,0.14,0.12,0.11,0.11
,Standard deviation,0,0,0,0,0,0,0,0,87.8,34.74,3.89,0,0,22.73,0,0,0,49.56,72.06,57.97,41.84,0,,43.89,44.35,45.18,32.91
la01,MAKESPAN,848,772,941,822,835,763,751,933,823,759,808,763,808,797,808,751,772,666,727,782,769,666,666,818,761,869,775
